year,mean_d_emissions,median_d_emissions,mean_d_employment,median_d_employment,n_obs,mean_d_emissions_ma3,mean_d_employment_ma3
2006,14094.1512151215,-1172,-0.0391539153915393,0,1111,,
2007,13143.4391343553,-1264,0.168169522091975,0.100000000000001,1109,,
2008,-103073.238615665,-6890,0.13224043715847,0.100000000000001,1098,-25278.5494220627,0.0870853479529684
2009,-204291.094977169,-15164,-1.72812785388128,-0.800000000000001,1095,-98073.6314861595,-0.475905964876945
2010,31171.0724106325,2260,-0.968102658111825,-0.5,1091,-92064.4203940671,-0.854663358278211
2011,-53130.4007352941,-5739,0.110386029411764,0.0999999999999996,1088,-75416.8077672769,-0.861948160860446
2012,-27092.332103321,-3208,-0.115129151291513,0,1084,-16350.5534759942,-0.324281926663858
2013,-48123.0358490566,-3698,-0.252924528301887,-0.1,1060,-42781.9228958906,-0.0858892167272118
2014,-95854.7307326356,-7052,0.0405328258801142,0,1051,-57023.3662283378,-0.109173617904428
2015,-26653.6309751434,-223,0.127724665391969,0,1046,-56877.1325189452,-0.0282223456766011
2016,-63996.0527831094,440,0.373896353166987,0.0999999999999996,1042,-62168.1381636295,0.180717948146357
2017,-11740.2480694981,309.5,0.407722007722008,0.100000000000001,1036,-34129.977275917,0.303114342093655
2018,-64076.0968054211,-952,0.405324298160697,0.200000000000001,1033,-46604.1325526762,0.395647553016564
2019,-146057.03595724,-3280,0.373663751214772,0.199999999999996,1029,-73957.7936107197,0.395570019032492
2020,-133887.070107108,-8052,-0.604381694255112,-0.300000000000001,1027,-114673.40095659,0.0582021183734525
2021,85618.8227571116,3647.5,-0.0201312910284464,0,914,-64775.0944357455,-0.083616411356262
2022,-15519.2941822173,-9086,0.366520307354556,0.199999999999999,911,-21262.5138440713,-0.0859975593096674
2023,-186541.656732892,-14537.5,0.0526490066225167,0.0999999999999996,906,-38814.0427193325,0.133012674316209
